PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-0.9278412,1.658632,0.2268646,0.02394477,0.3387382,-0.02907657,0.9401264
-0.9265282,1.659508,0.226869,0.02300726,0.3387562,-0.028713,0.9401546
-0.925257,1.660275,0.226407,0.02211057,0.3397258,-0.02739547,0.9398654
-0.9237595,1.660849,0.2267761,0.02082471,0.3400965,-0.02792851,0.939745
-0.9226346,1.661843,0.2264113,0.01942453,0.3413275,-0.0272862,0.9393475
-0.9215271,1.662717,0.2260182,0.0174347,0.3426219,-0.02646675,0.9389386
-0.9207277,1.663732,0.2256716,0.0155466,0.3430438,-0.02686379,0.9388065
-0.919565,1.664515,0.2254254,0.01362821,0.3440239,-0.02612305,0.9384985
-0.9185896,1.665418,0.225396,0.01188102,0.3447442,-0.02513078,0.938285
-0.9175293,1.66731,0.2247662,0.009268506,0.3469449,-0.02246658,0.9375706
-0.916657,1.668191,0.2243624,0.007093745,0.3480717,-0.02211158,0.9371803
-0.9159687,1.669323,0.2241213,0.005028646,0.3492966,-0.02117876,0.9367594
-0.9155715,1.669801,0.2237765,0.003869841,0.3496586,-0.02115623,0.9366303
-0.9145088,1.670499,0.2230852,0.002504673,0.3515027,-0.0214764,0.9359372
-0.9135711,1.671347,0.222684,0.001314737,0.3536765,-0.02091147,0.9351331
-0.9122238,1.671838,0.222423,0.00059802,0.3552229,-0.02050636,0.9345565
-0.9109533,1.672194,0.2219177,0.0005725606,0.3567867,-0.02043138,0.9339623
-0.9093549,1.672352,0.2221012,0.0003860202,0.3578477,-0.02061868,0.9335523
-0.9083509,1.672361,0.2222968,0.001028583,0.3589321,-0.01985248,0.933152
-0.9068899,1.672225,0.2218282,0.001651337,0.3603104,-0.01998489,0.9326169
-0.9051354,1.672222,0.2216026,0.001752039,0.3617733,-0.02088509,0.9320305
-0.9033856,1.672479,0.2212822,0.001895041,0.3636543,-0.02089044,0.9312978
-0.9016132,1.672899,0.2209366,0.001539248,0.3652675,-0.02144307,0.9306543
-0.899754,1.672845,0.2205275,0.001434001,0.3673631,-0.02196994,0.929817
-0.8961627,1.672951,0.2197382,0.00109183,0.3716357,-0.02357822,0.9280786
-0.8961627,1.672951,0.2197382,0.00109183,0.3716357,-0.02357822,0.9280786
-0.8919556,1.673417,0.2183527,0.0005593965,0.3767669,-0.02442047,0.925986
-0.8897295,1.67332,0.2173488,0.0003229677,0.3796346,-0.02497434,0.9247993
-0.8879235,1.673476,0.2166092,-0.0001220703,0.382507,-0.02530333,0.9236061
-0.8836813,1.673654,0.2146391,-0.0002441406,0.3889897,-0.02581434,0.9208803
-0.8836813,1.673654,0.2146391,-0.0002441406,0.3889897,-0.02581434,0.9208803
-0.881768,1.67366,0.2139296,-0.0001220703,0.3929091,-0.02611135,0.9192065
-0.8802178,1.674013,0.2132802,-0.0001220703,0.3955335,-0.02658192,0.9180668
-0.8784914,1.674412,0.2127661,-0.0001726335,0.3983289,-0.02680048,0.9168511
-0.8771656,1.674505,0.2121639,0,0.4014695,-0.02637397,0.9154926
-0.8755052,1.674682,0.2113974,-0.0002729575,0.4042699,-0.02633015,0.9142607
-0.8740555,1.674932,0.2100864,-0.0005179005,0.4076053,-0.02672476,0.9127669
-0.8725215,1.675041,0.2092016,-0.00059802,0.4107769,-0.02620222,0.9113591
-0.8710895,1.675047,0.2081223,-0.0007623289,0.4138717,-0.02655892,0.9099474
-0.8699703,1.675346,0.2072864,-0.001189794,0.4168204,-0.02670049,0.9085959
-0.8688787,1.675536,0.2065162,-0.001189794,0.4194789,-0.02675569,0.90737
-0.8680028,1.675538,0.2061431,-0.0007816314,0.4218173,-0.0265404,0.906292
-0.8674636,1.675681,0.20563,-0.0006224389,0.4234907,-0.02642026,0.9055149
-0.8664869,1.676102,0.2046907,-0.0008004686,0.4274156,-0.02645267,0.9036678
-0.8658451,1.676136,0.2041858,-0.0009689031,0.4297078,-0.02608852,0.9025906
-0.8642703,1.676677,0.2034195,-0.001320392,0.4339678,-0.02614842,0.9005479
-0.8642703,1.676677,0.2034195,-0.001320392,0.4339678,-0.02614842,0.9005479
-0.8660772,1.675627,0.2027997,-0.001524658,0.4363714,-0.02545861,0.8994052
-0.8657541,1.676001,0.2022764,-0.001326023,0.4385363,-0.02529302,0.8983565
-0.8653193,1.67603,0.2016667,-0.001459749,0.4406184,-0.02581463,0.8973221
-0.8646418,1.676236,0.2011818,-0.001164477,0.4427013,-0.02626782,0.8962836
-0.866293,1.675363,0.2006994,-0.001375663,0.4443227,-0.02594016,0.8954901
-0.8677813,1.674506,0.2003278,-0.001183516,0.4466616,-0.02538769,0.8943419
-0.8695568,1.674068,0.1997282,-0.001105394,0.4490688,-0.02553692,0.8931315
-0.8684862,1.674561,0.1993397,-0.0004401308,0.4510271,-0.02560539,0.8921428
-0.8693683,1.673479,0.1985198,-0.0003860202,0.45325,-0.02521454,0.8910267
-0.8726183,1.671682,0.1964582,0.0001220703,0.4584053,-0.02442718,0.8884075
-0.8732193,1.671286,0.1956738,0.0007524919,0.4610811,-0.02385842,0.8870369
-0.8744234,1.670422,0.1944653,0.001071163,0.4645114,-0.02394352,0.8852428
-0.8754539,1.66949,0.1933219,0.001743513,0.4679143,-0.02421796,0.8834403
-0.8767576,1.668542,0.1917655,0.002510616,0.471453,-0.02346451,0.8815754
-0.8775442,1.667843,0.1905195,0.003049315,0.4745153,-0.02295506,0.8799427
-0.8786366,1.667307,0.1891921,0.003487026,0.4772998,-0.02340887,0.8784217
-0.8784845,1.667062,0.1877325,0.003708608,0.4801047,-0.02380872,0.8768802
