PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-0.9889936,1.340913,0.2674048,0.001151609,-0.2007157,0.02646449,0.9792913
-0.9859543,1.341863,0.265946,0.0005459151,-0.1990203,0.02588006,0.9796535
-0.9832213,1.342736,0.2646542,-0.0002441406,-0.196955,0.02591746,0.9800699
-0.980139,1.343682,0.262813,0.000211432,-0.1974652,0.02359181,0.9800259
-0.9776669,1.344517,0.260225,-0.001987161,-0.1956252,0.02510052,0.9803555
-0.9751053,1.345281,0.2582002,-0.002166533,-0.1962069,0.02418132,0.9802619
-0.9725351,1.34577,0.2561477,-0.001855308,-0.1967946,0.02373098,0.9801558
-0.9696982,1.346441,0.2537548,-0.0021734,-0.1969258,0.02374291,0.9801285
-0.9638131,1.347081,0.2499067,-0.001660336,-0.1968931,0.0221708,0.9801729
-0.9609921,1.347437,0.2484977,-0.0001726335,-0.1965078,0.02349275,0.9802208
-0.9581001,1.34736,0.2460055,0.000211432,-0.1966842,0.02299949,0.9801971
-0.9549618,1.347913,0.2439516,-0.0005725605,-0.1963004,0.02263014,0.9802825
-0.9522455,1.348459,0.2420063,-0.001717682,-0.1945203,0.02232185,0.980643
-0.9492431,1.348815,0.240858,0.0006103516,-0.1944003,0.02246193,0.9806649
-0.9464614,1.349534,0.2389563,0.001490058,-0.1938178,0.02161472,0.9807983
-0.9431863,1.35049,0.2363262,-0.002220875,-0.1915573,0.02006377,0.9812738
-0.9397941,1.351645,0.2342949,-0.004032018,-0.190165,0.02056912,0.9815284
-0.9368849,1.352651,0.2327078,-0.002169969,-0.1894025,0.01970443,0.9816994
-0.9339452,1.353115,0.2306356,-0.004157566,-0.1880769,0.0198446,0.981945
-0.9309807,1.353828,0.2288103,-0.00349343,-0.1848662,0.01967151,0.9825606
-0.9282732,1.354346,0.2268192,-0.004300272,-0.1835264,0.01955451,0.9828109
-0.9252126,1.355099,0.22531,-0.00252541,-0.1827202,0.01789819,0.9829988
-0.9223034,1.355755,0.2231636,-0.003929072,-0.1798526,0.01798954,0.9835212
-0.9190204,1.356295,0.2215219,-0.004694552,-0.1786832,0.01765383,0.9837371
-0.9142017,1.357076,0.2182274,-0.00401164,-0.1756451,0.01732109,0.984293
-0.9085963,1.358071,0.2146055,-0.003340804,-0.1732791,0.01598562,0.9847374
-0.9085963,1.358071,0.2146055,-0.003340804,-0.1732791,0.01598562,0.9847374
-0.9062812,1.358635,0.2134115,-0.002197266,-0.1730566,0.01511702,0.9847934
-0.9031558,1.359295,0.2121011,-0.003327396,-0.1700513,0.0138801,0.9853318
-0.9004703,1.35921,0.2107516,-0.003989291,-0.16829,0.01407572,0.985629
-0.897923,1.359503,0.2095498,-0.002635136,-0.1658317,0.01526514,0.9860324
-0.8951812,1.359511,0.2082759,-0.002240913,-0.1637286,0.01498385,0.9863891
-0.8894157,1.359423,0.2066459,0.0009134906,-0.1604929,0.01337882,0.9869459
-0.8894157,1.359423,0.2066459,0.0009134906,-0.1604929,0.01337882,0.9869459
-0.883534,1.359697,0.2044664,0.000211432,-0.157384,0.01251146,0.9874582
-0.8803539,1.360232,0.2038925,0.001847259,-0.1562396,0.0102706,0.9876641
-0.8778398,1.360461,0.202363,-0.0009052976,-0.1535939,0.01259929,0.9880533
-0.8756213,1.360489,0.2016797,0.0009533996,-0.1527453,0.01171939,0.9881957
-0.8731322,1.360415,0.2005832,0.002718635,-0.1527507,0.009973974,0.9882107
-0.8711047,1.360487,0.198888,0.0001220703,-0.1522919,0.01257798,0.9882556
-0.8683109,1.360205,0.1979977,0.00185932,-0.1524282,0.01242482,0.9882348
-0.865512,1.360498,0.196824,0.002632307,-0.1524814,0.01265004,0.9882219
-0.8594593,1.360802,0.1946058,-0.00029901,-0.1484845,0.01293369,0.9888301
-0.8558,1.361265,0.1938169,0.001600937,-0.1506792,0.009363676,0.9885371
-0.8527676,1.361685,0.1924335,-0.0008717564,-0.1471169,0.01161081,0.9890506
-0.8527676,1.361685,0.1924335,-0.0008717564,-0.1471169,0.01161081,0.9890506
-0.8457663,1.362298,0.1907169,-0.0005593965,-0.1454114,0.008220509,0.989337
-0.8427563,1.36246,0.1896546,-0.003143162,-0.1437259,0.00931981,0.9895687
-0.8392936,1.362861,0.189021,-0.001752039,-0.1434758,0.009077633,0.9896107
-0.8358349,1.36312,0.1875543,-0.002035319,-0.1430148,0.007780008,0.9896879
-0.8323699,1.363419,0.1862181,-0.005513472,-0.141489,0.008143106,0.989891
-0.8290343,1.363885,0.1854669,-0.003211169,-0.1409694,0.007441285,0.9899808
-0.8254056,1.364273,0.1845731,-0.004542918,-0.1404655,0.00740817,0.9900475
-0.8217189,1.364998,0.183709,-0.004979511,-0.1394927,0.007823936,0.9901797
-0.8180833,1.365076,0.183134,-0.005355813,-0.1382193,0.007181429,0.9903612
-0.8147438,1.365054,0.1822364,-0.00540704,-0.1375104,0.00602241,0.9904673
-0.8115278,1.365154,0.1815593,-0.004846054,-0.1361856,0.006779026,0.9906483
-0.8047642,1.36575,0.1793604,-0.008064959,-0.1335366,0.007288528,0.9909843
-0.7982413,1.366146,0.1784112,-0.006944073,-0.1333864,0.004284651,0.9910305
-0.7982413,1.366146,0.1784112,-0.006944073,-0.1333864,0.004284651,0.9910305
-0.7954315,1.366513,0.1779779,-0.006529335,-0.1329923,0.005389097,0.9910809
-0.7924374,1.366718,0.1777062,-0.006338259,-0.1323255,0.004891959,0.991174
-0.7895584,1.366508,0.1769241,-0.007694304,-0.1313167,0.004470174,0.9913005
-0.7870831,1.366281,0.1766677,-0.005854287,-0.1313436,0.004721455,0.9913084
-0.7844826,1.366549,0.1761136,-0.007667143,-0.1305144,0.005896136,0.9913993
-0.7815382,1.366571,0.175947,-0.007166889,-0.1298631,0.004944978,0.9914937
-0.7788547,1.36681,0.1758327,-0.007264979,-0.1280276,0.00555118,0.9917285
-0.7764264,1.366734,0.1756443,-0.007635984,-0.1269911,0.005732108,0.9918579
-0.7738724,1.366949,0.1757051,-0.00652477,-0.1265485,0.005350246,0.9919246
-0.7715979,1.367224,0.1754634,-0.007110531,-0.1250424,0.006158203,0.9921069
-0.7668599,1.367677,0.1747761,-0.007802003,-0.1222134,0.005040484,0.9924604
-0.7651588,1.368003,0.1745409,-0.008891882,-0.121002,0.006683838,0.99259
-0.7634127,1.36809,0.1741125,-0.009340573,-0.1206323,0.00564567,0.9926373
-0.7597767,1.368699,0.1734099,-0.01002984,-0.1178373,0.007432268,0.9929544
-0.7579093,1.368915,0.1731304,-0.009333391,-0.1176309,0.00706533,0.9929884
-0.7579093,1.368915,0.1731304,-0.009333391,-0.1176309,0.00706533,0.9929884
-0.7563472,1.36912,0.1727635,-0.0103328,-0.115203,0.006990058,0.9932637
-0.7543392,1.369011,0.1727428,-0.01025609,-0.1136465,0.007173124,0.9934424
-0.75026,1.369057,0.1733063,-0.008064035,-0.1101472,0.005945213,0.9938648
-0.7483804,1.369021,0.1730623,-0.00871329,-0.1072137,0.004878233,0.9941859
-0.7463691,1.36865,0.1729288,-0.009932053,-0.1044838,0.005872077,0.9944597
-0.7439499,1.368455,0.1733184,-0.007039976,-0.1038208,0.003347488,0.9945655
-0.7422149,1.36816,0.1729702,-0.008128453,-0.1017901,0.005094882,0.9947597
-0.7402769,1.367936,0.1727504,-0.007368842,-0.1002516,0.004059641,0.9949266
-0.7391567,1.367816,0.1722573,-0.008470483,-0.09828419,0.004719877,0.9951112
-0.7376884,1.367549,0.1720174,-0.008838094,-0.09635316,0.005859375,0.9952908
-0.7360874,1.367358,0.1719643,-0.008011199,-0.0965127,0.005081704,0.9952865
-0.734787,1.367376,0.1715822,-0.007875192,-0.09398606,0.006132743,0.9955235
-0.7335734,1.367318,0.1716237,-0.00778288,-0.09465346,0.004604818,0.9954692
-0.7324777,1.366903,0.1711099,-0.008647198,-0.09328249,0.005204835,0.9955885
-0.7295268,1.366666,0.1705095,-0.007726192,-0.09094148,0.004997434,0.9958137
-0.7295268,1.366666,0.1705095,-0.007726192,-0.09094148,0.004997434,0.9958137
-0.7274729,1.366377,0.1695825,-0.007913886,-0.08823438,0.007032564,0.9960435
-0.726544,1.366137,0.169236,-0.00803256,-0.08747784,0.005683812,0.9961179
-0.7254537,1.365809,0.1693068,-0.008732934,-0.08472577,0.006907497,0.9963421
-0.7240509,1.365551,0.1695478,-0.005669375,-0.08401676,0.00634883,0.996428
-0.7229571,1.365246,0.1690889,-0.006173911,-0.082491,0.007048437,0.9965478
-0.721463,1.365064,0.1688276,-0.006436243,-0.08147624,0.006710537,0.9966319
-0.719972,1.3648,0.1689642,-0.006717196,-0.07889256,0.007591949,0.9968316
-0.7184293,1.364624,0.1696039,-0.006071694,-0.07723376,0.007505091,0.9969663
-0.7167308,1.364497,0.1693559,-0.006066784,-0.07631572,0.006516771,0.997044
-0.715759,1.364426,0.1690837,-0.007024083,-0.07331529,0.008335713,0.9972492
-0.7144778,1.36378,0.1692004,-0.006355868,-0.07141322,0.00875594,0.9973881
-0.713384,1.363381,0.169319,-0.004338222,-0.07144681,0.008063111,0.9974024
-0.7112724,1.36282,0.169434,-0.004424944,-0.06877837,0.00937481,0.9975781
-0.7098058,1.362266,0.1694469,-0.003700563,-0.06658407,0.009983681,0.997724
