PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-0.6791617,1.539968,0.2169342,0.007912473,0.5963573,-0.02643337,0.8022448
-0.6742171,1.540707,0.2195534,0.004692965,0.6007412,-0.02485623,0.7990432
-0.6690077,1.541033,0.2225755,0.003729643,0.6043559,-0.02290714,0.7963764
-0.6641421,1.540792,0.2257895,0.006082116,0.6079627,-0.02345514,0.7935958
-0.6592211,1.540793,0.2294931,0.005278747,0.61299,-0.02260642,0.7897496
-0.6541649,1.540882,0.2335802,0.007227449,0.6166773,-0.02149911,0.7868893
-0.6492652,1.541377,0.2379965,0.008141276,0.6212519,-0.01653771,0.7833941
-0.6443349,1.542659,0.2426435,0.006692749,0.6256581,-0.009450797,0.7800115
-0.6401602,1.543575,0.2476548,0.00472106,0.628825,-0.007716785,0.7774943
-0.6365839,1.544852,0.2534967,0.00176686,0.6292607,-0.005938316,0.7771696
-0.6328619,1.54609,0.2595655,-0.000690534,0.6300635,-0.003369672,0.776536
-0.6295612,1.547831,0.265813,-0.002845181,0.6318682,-0.0004688199,0.7750705
-0.6263765,1.549939,0.2718796,-0.005090128,0.6346071,0.003354714,0.7728109
-0.6187757,1.554726,0.2846211,-0.01123279,0.6402181,0.01097174,0.7680327
-0.6149182,1.556278,0.2910929,-0.01377935,0.6417112,0.01229945,0.7667239
-0.6111447,1.556822,0.2972651,-0.013773,0.6430049,0.01433573,0.765604
-0.6075809,1.556818,0.3034575,-0.01334397,0.6453289,0.01328858,0.7636728
-0.60403,1.557073,0.3093277,-0.01331014,0.6474074,0.01356629,0.7619072
-0.6002108,1.557794,0.3154235,-0.01426709,0.6466599,0.01533331,0.7624909
-0.5962877,1.558528,0.3213835,-0.0155249,0.6468406,0.01590631,0.7623013
-0.5925505,1.558827,0.3270048,-0.0146254,0.6473854,0.01463686,0.7618819
-0.5888498,1.55865,0.3321581,-0.01424357,0.6481848,0.01426866,0.7612161
-0.5816659,1.55744,0.3410671,-0.01255516,0.650519,0.01161113,0.7592975
-0.5816659,1.55744,0.3410671,-0.01255516,0.650519,0.01161113,0.7592975
-0.5783131,1.55679,0.3449159,-0.0128438,0.6516703,0.008426831,0.7583468
-0.5750244,1.557213,0.3481849,-0.01457808,0.6548721,0.007340477,0.7555634
-0.5718484,1.557694,0.3512411,-0.01250774,0.655665,0.009313613,0.7548909
-0.568974,1.557895,0.354067,-0.01085208,0.6560758,0.008689101,0.754567
-0.5660408,1.557806,0.3564512,-0.01029904,0.6570832,0.009463205,0.7536883
-0.5632796,1.557754,0.3584896,-0.01067016,0.6561728,0.008873009,0.754483
-0.5574031,1.557725,0.3610072,-0.009215702,0.6557192,0.00952344,0.7548887
-0.554675,1.558064,0.3614672,-0.00867129,0.6558774,0.009590099,0.7547567
